Дата, дд.мм.гг	 Время, чч:мм:сс	               + мкс	  Время со старта, с	        Номер каналa	Тип информации  (АЭ)	      Амплитуда, АЦП	       Амплитуда, дБ	      Амплитуда, мкВ	  Ампл./Выбросы, мкВ	   Энергия*1e-24, Дж	         Энергия, дБ	      Энергия, MARSE	   Длительность, мкс	Время нарастания,мкс	      Число выбросов	Выбросы/Длительн,кГц	    Аппаратные флаги
06.10.23	            11:57:27	              975743	                  14	                  15	                (АЭ)	                  25	                37.7	                76.5	                76.5	            26420321	                74.2	           5140070.1	                   3	                   1	                   1	                 333	                 ---
06.10.23	            11:57:27	              937894	                  14	                  10	                (АЭ)	                4790	                83.3	             14652.9	                 6.5	        642437981551	               118.1	         801522290.1	               32000	                 102	                2259	                  70	                 -D-
06.10.23	            11:57:27	              937989	                  14	                  11	                (АЭ)	                3359	                80.2	             10275.4	                 4.5	        521111518741	               117.2	         721880543.3	               32000	                 159	                2281	                  71	                 -D-
06.10.23	            11:57:27	              937997	                  14	                  13	                (АЭ)	                2793	                78.6	              8543.9	                 3.6	        492897268872	               116.9	         702066427.7	               32000	                 165	                2382	                  74	                 -D-
06.10.23	            11:57:27	              937963	                  14	                  09	                (АЭ)	                2074	                76.0	              6344.5	                 2.8	        474032831923	               116.8	         688500422.6	               32000	                 652	                2296	                  71	                 -D-
06.10.23	            11:57:27	              938100	                  14	                  12	                (АЭ)	                2044	                75.9	              6252.7	                 2.7	        497207675876	               117.0	         705129545.5	               32000	                 320	                2291	                  71	                 -D-
06.10.23	            11:57:27	              938000	                  14	                  14	                (АЭ)	                4900	                83.5	             14989.3	                 6.6	        793608349326	               119.0	         890846984.2	               32000	                 171	                2288	                  71	                 -D-
06.10.23	            11:57:27	              978742	                  14	                  02	                (АЭ)	                  21	                36.2	                64.2	                64.2	             8844985	                69.5	           2974051.9	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              978960	                  14	                  01	                (АЭ)	                  21	                36.2	                64.2	                64.2	            12793130	                71.1	           3576748.6	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              937987	                  14	                  03	                (АЭ)	                2634	                78.1	              8057.5	                 3.9	        426648005702	               116.3	         653182980.3	               32000	                 153	                2051	                  64	                 -D-
06.10.23	            11:57:27	              937948	                  14	                  07	                (АЭ)	                2684	                78.3	              8210.5	                 3.6	        554939965738	               117.4	         744942927.8	               32000	                 124	                2296	                  71	                 -D-
06.10.23	            11:57:27	              938040	                  14	                  04	                (АЭ)	                4546	                82.9	             13906.4	                 5.7	        833176343220	               119.2	         912784938.1	               32000	                 177	                2447	                  76	                 -D-
06.10.23	            11:57:27	              938000	                  14	                  08	                (АЭ)	                4116	                82.0	             12591.1	                 5.0	        927829374653	               119.7	         963239001.8	               32000	                 164	                2531	                  79	                 -D-
06.10.23	            11:57:27	              970161	                  14	                  04	                (АЭ)	                  35	                40.6	               107.1	                 3.6	           251779617	                84.0	          15867564.9	                2666	                2082	                  30	                  11	                 ---
06.10.23	            11:57:27	              973419	                  14	                  04	                (АЭ)	                  24	                37.3	                73.4	                36.7	            39433827	                76.0	           6279635.9	                 320	                 318	                   2	                   6	                 ---
06.10.23	            11:57:27	              970055	                  14	                  07	                (АЭ)	                  31	                39.5	                94.8	                 2.8	           312843231	                85.0	          17687374.9	                4113	                 287	                  34	                   8	                 ---
06.10.23	            11:57:27	              970057	                  14	                  13	                (АЭ)	                  34	                40.3	               104.0	                 3.5	           265718234	                84.2	          16300866.1	                3459	                 992	                  30	                   8	                 ---
06.10.23	            11:57:27	              970005	                  14	                  09	                (АЭ)	                  34	                40.3	               104.0	                 2.9	           314935352	                85.0	          17746418.0	                3851	                 854	                  36	                   9	                 ---
06.10.23	            11:57:27	              970120	                  14	                  11	                (АЭ)	                  39	                41.5	               119.3	                 3.1	           355613298	                85.5	          18857711.9	                3819	                2050	                  38	                   9	                 ---
06.10.23	            11:57:27	              970020	                  14	                  10	                (АЭ)	                  36	                40.8	               110.1	                 2.8	           355738318	                85.5	          18861026.4	                4314	                1080	                  39	                   9	                 ---
06.10.23	            11:57:27	              970263	                  14	                  12	                (АЭ)	                  38	                41.3	               116.2	                 3.4	           315048488	                85.0	          17749605.3	                4483	                 357	                  34	                   7	                 ---
06.10.23	            11:57:27	              974128	                  14	                  13	                (АЭ)	                  26	                38.0	                79.5	                13.3	            59452670	                77.7	           7710555.7	                 816	                 813	                   6	                   7	                 ---
06.10.23	            11:57:27	              974552	                  14	                  09	                (АЭ)	                  26	                38.0	                79.5	                26.5	            45117282	                76.5	           6716939.9	                 317	                 315	                   3	                   9	                 ---
06.10.23	            11:57:27	              974542	                  14	                  11	                (АЭ)	                  27	                38.3	                82.6	                11.8	            52845133	                77.2	           7269465.8	                 441	                   1	                   7	                  15	                 ---
06.10.23	            11:57:27	              970060	                  14	                  14	                (АЭ)	                  39	                41.5	               119.3	                 2.3	           440077192	                86.4	          20978016.9	                4911	                 559	                  52	                  10	                 ---
06.10.23	            11:57:27	              975845	                  14	                  13	                (АЭ)	                  22	                36.6	                67.3	                67.3	            16879210	                72.3	           4108431.6	                   1	                   1	                   1	                1000	                 ---
06.10.23	            11:57:27	              975380	                  14	                  12	                (АЭ)	                  26	                38.0	                79.5	                26.5	            55402992	                77.4	           7443318.6	                 880	                 879	                   3	                   3	                 ---
